shopify_product_id,title,handle,url,vendor,product_type,status,price_min_usd,price_max_usd,compare_at_price_usd,variant_count,image_url_1,sample_category,collection_id
7831069851693,"CAC Chinaware Artdeco Plate 7 7/8""",cac-chinaware-artdeco-plate-7-7-8,https://celebratefestivalinc.com/products/cac-chinaware-artdeco-plate-7-7-8,CAC,Plate,active,54.46,54.46,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/art-7.jpg?v=1713447599,Dinnerware (New Theme China),312933646381
7831069294637,"CAC Chinaware Artdeco Platter 12""",cac-chinaware-artdeco-platter-12,https://celebratefestivalinc.com/products/cac-chinaware-artdeco-platter-12,CAC,Platter,active,107.64,107.64,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/art-13.jpg?v=1713447582,Dinnerware (New Theme China),312933646381
15122607833133,"Angaar CA-30 Deluxe 30"" Rotating Gas Tandoor Roti Naan Pita Bread Oven SGS Certified - Made in UK",angaar-ca-30-deluxe-30-commercial-tandoor-oven-high-volume-production-sgs-gas-certified,https://celebratefestivalinc.com/products/angaar-ca-30-deluxe-30-commercial-tandoor-oven-high-volume-production-sgs-gas-certified,Angaar Tandoor,Rotating Tandoor,active,5799.99,6399.00,6499.00,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/30inc_Automatic_Tandoor_1.webp?v=1780528589,Angaar Tandoor,507064647725
15122671861805,"Angaar CA-30E Electric 30"" Rotating Tandoor Roti Naan Pita Bread Oven SGS Certified - Made in UK",angaar-ca-30e-electric-30-rotating-tandoor-roti-naan-pita-bread-oven-sgs-certified-made-in-uk,https://celebratefestivalinc.com/products/angaar-ca-30e-electric-30-rotating-tandoor-roti-naan-pita-bread-oven-sgs-certified-made-in-uk,Angaar Tandoor,Rotating Tandoor,draft,0.00,0.00,,2,,Angaar Tandoor,507064647725
15122625953837,"Angaar CA-40 Deluxe 40"" Rotating Gas Tandoor Roti Naan Pita Bread Oven SGS Certified - Made in UK",angaar-ca-40-deluxe-40-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk-copy,https://celebratefestivalinc.com/products/angaar-ca-40-deluxe-40-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk-copy,Angaar Tandoor,Rotating Tandoor,active,0.00,7999.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/40_inch_automatic_tandoor2.webp?v=1780529945,Angaar Tandoor,507064647725
15122634604589,"Angaar CA-50 Deluxe 50"" Rotating Gas Tandoor Roti Naan Pita Bread Oven SGS Certified - Made in UK",angaar-ca-50-deluxe-50-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk,https://celebratefestivalinc.com/products/angaar-ca-50-deluxe-50-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk,Angaar Tandoor,Rotating Tandoor,active,0.00,0.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/50_inch_automatic_tandoor_2.webp?v=1780530330,Angaar Tandoor,507064647725
15122641289261,"Angaar CA-60 Deluxe 60"" Rotating Gas Tandoor Roti Naan Pita Bread Oven SGS Certified - Made in UK",angaar-ca-60-deluxe-60-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk,https://celebratefestivalinc.com/products/angaar-ca-60-deluxe-60-rotating-tandoor-roti-naan-pita-bread-oven-sgs-gas-certified-made-in-uk,Angaar Tandoor,Rotating Tandoor,active,0.00,0.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/50_inch_automatic_tandoor_2.webp?v=1780530330,Angaar Tandoor,507064647725
15124900151341,"Angaar Electric Mini Tandoor Oven, Compact Countertop Tandoor for Naan, Chapati, Pizza",angaar-electric-mini-tandoor-oven-compact-countertop-tandoor-for-naan-chapati-pizza,https://celebratefestivalinc.com/products/angaar-electric-mini-tandoor-oven-compact-countertop-tandoor-for-naan-chapati-pizza,Angaar Tandoor,Tandoori Oven,active,179.00,179.00,189.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/MiniTandoorOven3.webp?v=1780614508,Angaar Tandoor,507064647725
15124885864493,"Angaar PKG-24 24"" Automatic Pivoting Kebab Grill, Commercial Gas BBQ Grill",angaar-pkg-24-24-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,https://celebratefestivalinc.com/products/angaar-pkg-24-24-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,Angaar Tandoor,Kebab Grill,active,0.00,0.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/PKG-36_2.webp?v=1780611296,Angaar Tandoor,507064647725
15124840677421,"Angaar PKG-36 36"" Automatic Pivoting Kebab Grill, Commercial Gas BBQ Grill",angaar-pkg-36-36-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,https://celebratefestivalinc.com/products/angaar-pkg-36-36-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,Angaar Tandoor,Kebab Grill,active,4999.00,5299.00,5499.00,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/PKG-36_2.webp?v=1780611296,Angaar Tandoor,507064647725
15124861354029,"Angaar PKG-48 48"" Automatic Pivoting Kebab Grill, Commercial Gas BBQ Grill",angaar-pkg-48-48-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill-copy,https://celebratefestivalinc.com/products/angaar-pkg-48-48-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill-copy,Angaar Tandoor,Kebab Grill,active,0.00,0.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/PKG-48.webp?v=1780611736,Angaar Tandoor,507064647725
15124878753837,"Angaar PKG-60 60"" Automatic Pivoting Kebab Grill, Commercial Gas BBQ Grill",angaar-pkg-60-60-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,https://celebratefestivalinc.com/products/angaar-pkg-60-60-automatic-pivoting-kebab-grill-commercial-gas-bbq-grill,Angaar Tandoor,Kebab Grill,active,0.00,0.00,,2,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/PKG-48.webp?v=1780611736,Angaar Tandoor,507064647725
15124900151341,"Angaar Electric Mini Tandoor Oven, Compact Countertop Tandoor for Naan, Chapati, Pizza",angaar-electric-mini-tandoor-oven-compact-countertop-tandoor-for-naan-chapati-pizza,https://celebratefestivalinc.com/products/angaar-electric-mini-tandoor-oven-compact-countertop-tandoor-for-naan-chapati-pizza,Angaar Tandoor,Tandoori Oven,active,179.00,179.00,189.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/MiniTandoorOven3.webp?v=1780614508,Rotoquip Tandoor,281142951981
7549234544685,NSF & ETL Certified Rotoquip Rotating Tandoor Roti Naan Pita Bread Oven - Made in UK - NaturalGas,etl-certified-rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-made-in-uk-naturalgas,https://celebratefestivalinc.com/products/etl-certified-rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-made-in-uk-naturalgas,Rotoquip,Rotating Tandoor,active,5949.00,5949.00,6799.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/Untitleddesign_44e94a52-c03c-4602-8602-9924efedfc78.png?v=1698993210,Rotoquip Tandoor,281142951981
7549228515373,"Rotoquip 36 : 61"" W x 24"" D x 36"" H",rotoquip-36-61-w-x-24-d-x-36-h,https://celebratefestivalinc.com/products/rotoquip-36-61-w-x-24-d-x-36-h,Rotoquip,Kabab Grill,active,6399.00,6399.00,6999.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/Untitleddesign.jpg?v=1711277536,Rotoquip Tandoor,281142951981
7549222125613,"Rotoquip Automatic Conveyor Seekh Kabab Grill-30 : 52"" W x 24"" D x 36"" H.",rotoquip-automatic-conveyor-seekh-kebab-grill-30-52-w-x-24-d-x-36-h,https://celebratefestivalinc.com/products/rotoquip-automatic-conveyor-seekh-kebab-grill-30-52-w-x-24-d-x-36-h,Rotoquip,Kabab Grill,active,5699.00,5699.00,5999.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/Untitleddesign_0f5cc54e-c208-4b16-a7d9-0f6251dd4069.jpg?v=1711277585,Rotoquip Tandoor,281142951981
7771016921133,"Rotoquip Rotating Tandoor Roti Naan Pita Bread Oven - Deluxe Model ( With Glass), Made in UK - ELECTRIC  (NON NSF CERTIFIED MODEL), 3 Phase 208-230 VOLT",copy-of-rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-deluxe-model-with-glass-made-in-uk-gas-non-nsf-certified-model,https://celebratefestivalinc.com/products/copy-of-rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-deluxe-model-with-glass-made-in-uk-gas-non-nsf-certified-model,Rotoquip,Rotating Tandoor,active,5799.00,5799.00,5999.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/Untitleddesign_daf72826-fb6d-4bc9-ae4a-b58232bdede1.png?v=1711658842,Rotoquip Tandoor,281142951981
7549213802541,"Rotoquip Rotating Tandoor Roti Naan Pita Bread Oven - Deluxe Model ( With Glass), Made in UK - Gas (NON NSF CERTIFIED MODEL)",rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-deluxe-model-with-glass-made-in-uk-gas,https://celebratefestivalinc.com/products/rotoquip-rotating-tandoor-roti-naan-pita-bread-oven-deluxe-model-with-glass-made-in-uk-gas,Rotoquip,Rotating Tandoor,draft,5499.00,5499.00,5749.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/Untitleddesign_291781c1-97fa-4f30-84ab-8272a702aba5.png?v=1698994057,Rotoquip Tandoor,281142951981
15181891371053,"Alto-Shaam 10-10E Classic Electric Commercial Combi Oven with Absolute Humidity Control™, Boilerless Steam Generation and 7-Inch Touchscreen",alto-shaam-10-10e-classic-electric-commercial-combi-oven-with-absolute-humidity-control™-boilerless-steam-generation-and-7-inch-touchscreen,https://celebratefestivalinc.com/products/alto-shaam-10-10e-classic-electric-commercial-combi-oven-with-absolute-humidity-control™-boilerless-steam-generation-and-7-inch-touchscreen,Alto-Shaam,Prodigi Combi Oven,active,14770.80,14770.80,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/2758205.jpg?v=1784274795,Alto-Shaam All,507415232557
15181920763949,"Alto-Shaam 10-10E Pro Electric Commercial Combi Oven with Absolute Humidity Control™, Boilerless Steam Generation and 10.1-Inch Touchscreen",alto-shaam-10-10e-pro-electric-commercial-combi-oven-with-absolute-humidity-control™-boilerless-steam-generation-and-10-1-inch-touchscreen,https://celebratefestivalinc.com/products/alto-shaam-10-10e-pro-electric-commercial-combi-oven-with-absolute-humidity-control™-boilerless-steam-generation-and-10-1-inch-touchscreen,Alto-Shaam,Prodigi Combi Oven,active,16136.34,16136.34,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/2758210.jpg?v=1784275095,Alto-Shaam All,507415232557
15146110255149,Alto-Shaam 100-HW/D4 Halo Heat® Drop In Hot Food Well for Waterless Food Holding,alto-shaam-100-hw-d4-halo-heat®-drop-in-hot-food-well-for-waterless-food-holding,https://celebratefestivalinc.com/products/alto-shaam-100-hw-d4-halo-heat®-drop-in-hot-food-well-for-waterless-food-holding,Alto-Shaam,Drop-In Sink,active,1687.62,1687.62,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/100-HWPhoto.jpg?v=1781933846,Alto-Shaam All,507415232557
15146117136429,Alto-Shaam 100-HW/D6 Halo Heat® Drop In Hot Food Well for Waterless Food Holding,alto-shaam-100-hw-d6-halo-heat®-drop-in-hot-food-well-for-waterless-food-holding,https://celebratefestivalinc.com/products/alto-shaam-100-hw-d6-halo-heat®-drop-in-hot-food-well-for-waterless-food-holding,Alto-Shaam,Drop-In Sink,active,1920.60,1920.60,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/100-HWPhoto.jpg?v=1781933846,Alto-Shaam All,507415232557
15144499675181,Alto-Shaam 1000-BQ2/128 Halo Heat® Banquet Cart for High Capacity Meal Service,alto-shaam-1000-bq2-128-halo-heat®-banquet-cart-for-high-capacity-meal-service,https://celebratefestivalinc.com/products/alto-shaam-1000-bq2-128-halo-heat®-banquet-cart-for-high-capacity-meal-service,Alto-Shaam,"Cart, Banquet Service",active,7392.00,7392.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/384578.webp?v=1781866008,Alto-Shaam All,507415232557
8270450917421,Hoshizaki AM-50BAK Top Hat Ice Maker – 54 lb Air-Cooled Undercounter Cuber with Built-in Bin,hoshizaki-am-50bak-top-hat-ice-maker-54-lb-air-cooled-undercounter-cuber-with-built-in-bin,https://celebratefestivalinc.com/products/hoshizaki-am-50bak-top-hat-ice-maker-54-lb-air-cooled-undercounter-cuber-with-built-in-bin,Hoshizaki,Icemaker with Storage Bin,active,3000.00,3000.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/AM-50BAK-front-1000x1063.png?v=1757834812,Hoshizaki,281357090861
8270451474477,"Hoshizaki AM-50BAK-AD Top Hat Ice Maker, Air-Cooled Undercounter ADA-Compliant",hoshizaki-am-50bak-ad-top-hat-ice-maker-air-cooled-undercounter-ada-compliant,https://celebratefestivalinc.com/products/hoshizaki-am-50bak-ad-top-hat-ice-maker-air-cooled-undercounter-ada-compliant,Hoshizaki,Icemaker,active,3095.00,3095.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/AM-50BAK-AD-right-1000x1063.png?v=1757835552,Hoshizaki,281357090861
8270453866541,"Hoshizaki AM-50BAK-ADDS ADA-Compliant Top Hat Ice Maker, Air-Cooled Undercounter with Custom Cabinet Panel Ready",hoshizaki-am-50bak-adds-ada-compliant-top-hat-ice-maker-air-cooled-undercounter-with-custom-cabinet-panel-ready,https://celebratefestivalinc.com/products/hoshizaki-am-50bak-adds-ada-compliant-top-hat-ice-maker-air-cooled-undercounter-with-custom-cabinet-panel-ready,Hoshizaki,Icemaker,active,3190.00,3190.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/AM-50BAK-ADDS-right-1000x1063.png?v=1757837445,Hoshizaki,281357090861
8270454620205,"Hoshizaki AM-50BAK-DS Top Hat Ice Maker – Air-Cooled Undercounter, Custom Cabinet Panel Ready",hoshizaki-am-50bak-ds-top-hat-ice-maker-air-cooled-undercounter-custom-cabinet-panel-ready,https://celebratefestivalinc.com/products/hoshizaki-am-50bak-ds-top-hat-ice-maker-air-cooled-undercounter-custom-cabinet-panel-ready,Hoshizaki,Icemaker,active,3040.00,3040.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/AM-50BAK-DS-right-1000x1063.png?v=1757838305,Hoshizaki,281357090861
8274325995565,Hoshizaki B-1150SS 48″ Wide Commercial Ice Storage Bin – 1148 lbs Capacity with Stainless Steel Exterior,hoshizaki-b-1150ss-48-wide-commercial-ice-storage-bin-1148-lbs-capacity-with-stainless-steel-exterior,https://celebratefestivalinc.com/products/hoshizaki-b-1150ss-48-wide-commercial-ice-storage-bin-1148-lbs-capacity-with-stainless-steel-exterior,Hoshizaki,Ice Storage Bin,active,4705.00,4705.00,,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/B-1150SS-scaled-1.png?v=1758292298,Hoshizaki,281357090861
8461115359277,"Atosa AUF27D2 Undercounter Freezer with Drawers – 27” Commercial Worktop Freezer, 2 Drawer, Stainless Steel",atosa-auf27d2-undercounter-freezer-with-drawers-27-commercial-worktop-freezer-2-drawer-stainless-steel,https://celebratefestivalinc.com/products/atosa-auf27d2-undercounter-freezer-with-drawers-27-commercial-worktop-freezer-2-drawer-stainless-steel,Atosa,Undercounter Freezer,active,2353.00,2353.00,3265.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/DSC01708-1-300x300_1_99017be1-4d0c-4108-bb7f-10201c3cd7ef.jpg?v=1775630946,Atosa Refrigeration,281299025965
8461057753133,"Atosa AUR27D2 Undercounter Refrigerator with Drawers – 27” Commercial Worktop Fridge, 2 Drawer Design, Stainless Steel",atosa-aur27d2-undercounter-refrigerator-with-drawers-27-commercial-worktop-fridge-2-drawer-design-stainless-steel,https://celebratefestivalinc.com/products/atosa-aur27d2-undercounter-refrigerator-with-drawers-27-commercial-worktop-fridge-2-drawer-design-stainless-steel,Atosa,Undercounter Refrigerator,active,1528.00,1528.00,2120.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/DSC01708-1-300x300_1.jpg?v=1775628598,Atosa Refrigeration,281299025965
8461072334893,"Atosa AUR36D2 Undercounter Refrigerator with Drawers – 36” Commercial Worktop Fridge, 2 Drawer, Stainless Steel",atosa-aur36d2-undercounter-refrigerator-with-drawers-36-commercial-worktop-fridge-2-drawer-stainless-steel,https://celebratefestivalinc.com/products/atosa-aur36d2-undercounter-refrigerator-with-drawers-36-commercial-worktop-fridge-2-drawer-stainless-steel,Atosa,Undercounter Refrigerator,active,2475.00,2475.00,3434.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/AUR36D2-4-300x300_1.jpg?v=1775629347,Atosa Refrigeration,281299025965
8461084491821,"Atosa AUR48D4 Undercounter Refrigerator with Drawers – 48” Commercial Worktop Fridge, 4 Drawer, Stainless Steel",atosa-aur48d4-undercounter-refrigerator-with-drawers-48-commercial-worktop-fridge-4-drawer-stainless-steel,https://celebratefestivalinc.com/products/atosa-aur48d4-undercounter-refrigerator-with-drawers-48-commercial-worktop-fridge-4-drawer-stainless-steel,Atosa,Undercounter Refrigerator,active,3468.00,3468.00,4813.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/DSC01920-1-300x300_1.jpg?v=1775629841,Atosa Refrigeration,281299025965
8461095174189,"Atosa AUR60D4 Undercounter Refrigerator with Drawers – 60” Commercial Worktop Fridge, 4 Drawer, Stainless Steel",atosa-aur60d4-undercounter-refrigerator-with-drawers-60-commercial-worktop-fridge-4-drawer-stainless-steel,https://celebratefestivalinc.com/products/atosa-aur60d4-undercounter-refrigerator-with-drawers-60-commercial-worktop-fridge-4-drawer-stainless-steel,Atosa,Undercounter Refrigerator,active,4035.00,4035.00,5600.00,1,https://cdn.shopify.com/s/files/1/0562/3483/6013/files/DSC01513-300x300_1.jpg?v=1775630205,Atosa Refrigeration,281299025965
